City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Houston,US,29.7633,-95.3633,58.33,49,0,5.99,clear sky
1,Ilulissat,GL,69.2167,-51.1,26.62,74,100,2.3,overcast clouds
2,Riyadh,SA,24.6877,46.7219,78.94,28,0,9.91,clear sky
3,Esperance,AU,-33.8667,121.9,55.87,65,100,7.27,overcast clouds
4,Yellowknife,CA,62.456,-114.3525,27.12,100,75,3.44,broken clouds
5,Atuona,PF,-9.8,-139.0333,77.56,76,2,19.04,clear sky
6,Sinnar,SD,13.5691,33.5672,83.1,25,16,10.07,few clouds
7,Korla,CN,41.7597,86.1469,35.78,50,0,2.86,clear sky
8,Cabo San Lucas,MX,22.8909,-109.9124,81.18,64,43,5.99,scattered clouds
9,Georgetown,MY,5.4112,100.3354,81.23,90,20,0.0,light rain
10,Clyde River,CA,70.4692,-68.5914,-6.84,96,77,6.04,broken clouds
11,Thompson,CA,55.7435,-97.8558,15.98,81,61,6.91,broken clouds
12,Bambous Virieux,MU,-20.3428,57.7575,72.21,69,1,3.91,clear sky
13,Ola,RU,59.5833,151.2833,1.6,93,56,8.23,broken clouds
14,San Policarpo,PH,12.1791,125.5072,81.48,83,64,12.73,broken clouds
15,Harper,LR,4.375,-7.7169,79.66,80,92,7.27,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,42.57,98,68,3.71,broken clouds
17,Kavieng,PG,-2.5744,150.7967,82.89,74,100,15.93,overcast clouds
18,Palimbang,PH,6.2106,124.1894,78.6,85,80,3.29,broken clouds
19,Castro,BR,-24.7911,-50.0119,78.69,55,52,10.2,broken clouds
20,Kavaratti,IN,10.5669,72.642,80.26,77,100,1.72,overcast clouds
21,Hithadhoo,MV,-0.6,73.0833,81.63,75,96,12.24,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,53.1,90,100,1.68,moderate rain
23,Cidreira,BR,-30.1811,-50.2056,68.4,94,100,12.88,overcast clouds
24,Terrak,NO,65.087,12.3715,42.67,78,99,5.08,overcast clouds
25,Westport,US,41.1415,-73.3579,52.47,66,100,8.99,overcast clouds
26,Port Elizabeth,ZA,-33.918,25.5701,64.09,83,0,10.67,clear sky
27,Port Alfred,ZA,-33.5906,26.891,62.19,77,3,5.99,clear sky
28,Mikhaylovka,RU,50.06,43.2379,45.79,69,61,20.31,broken clouds
29,Sibirskiy,RU,53.5777,83.7577,34.59,83,100,16.98,overcast clouds
30,Busselton,AU,-33.65,115.3333,48.96,80,0,10.18,clear sky
31,East London,ZA,-33.0153,27.9116,65.75,72,13,14.09,few clouds
32,Kahului,US,20.8947,-156.47,74.84,92,15,5.01,few clouds
33,Rapid Valley,US,44.0625,-103.1463,36.77,55,0,31.07,clear sky
34,Maba,CN,24.6841,113.5984,65.93,71,1,3.53,clear sky
35,Seddon,AU,-37.8068,144.8916,57.74,88,75,20.71,light rain
36,Ushuaia,AR,-54.8,-68.3,60.35,36,39,7.18,scattered clouds
37,Omboue,GA,-1.5746,9.2618,76.89,88,43,9.28,light rain
38,Royan,FR,45.6285,-1.0281,57.83,66,16,6.31,few clouds
39,Ailigandi,PA,9.2333,-78.0167,82.45,75,97,4.36,light rain
40,Amsterdam,NL,52.374,4.8897,51.89,82,0,4.61,clear sky
41,Port Hardy,CA,50.6996,-127.4199,43.48,87,65,1.99,broken clouds
42,Arlit,NE,18.7369,7.3853,79.57,13,9,13.69,clear sky
43,Pevek,RU,69.7008,170.3133,-16.42,96,41,5.32,scattered clouds
44,Bathsheba,BB,13.2167,-59.5167,82.47,75,34,15.93,scattered clouds
45,Rikitea,PF,-23.1203,-134.9692,74.57,88,91,16.33,overcast clouds
46,Beloha,MG,-25.1667,45.05,70.79,82,7,19.8,clear sky
47,Bredasdorp,ZA,-34.5322,20.0403,61.21,75,0,5.61,clear sky
48,Geraldton,AU,-28.7667,114.6,57.61,77,34,11.5,scattered clouds
49,Viedma,AR,-40.8135,-62.9967,69.49,48,100,4.45,light rain
50,Amahai,ID,-3.3333,128.9167,79.3,84,100,2.75,overcast clouds
51,Lasa,IT,46.6166,10.7002,42.03,90,25,4.52,scattered clouds
52,Castro-Urdiales,ES,43.3829,-3.2204,70.61,55,39,8.08,scattered clouds
53,Nouadhibou,MR,20.931,-17.0347,69.89,78,0,19.26,clear sky
54,Cape Town,ZA,-33.9258,18.4232,67.08,55,1,3.0,clear sky
55,Banda Aceh,ID,5.5577,95.3222,75.42,91,100,4.68,overcast clouds
56,Athmallik,IN,20.7219,84.5348,65.14,67,32,1.79,scattered clouds
57,Faya,SA,18.3851,42.4509,60.73,58,9,3.4,clear sky
58,Champerico,GT,14.3,-91.9167,82.62,71,78,5.99,broken clouds
59,Arraial Do Cabo,BR,-22.9661,-42.0278,75.61,78,45,7.9,scattered clouds
60,Hermanus,ZA,-34.4187,19.2345,61.81,83,0,2.84,clear sky
61,Ponta Do Sol,PT,32.6667,-17.1,73.71,82,54,3.89,broken clouds
62,Fort Nelson,CA,58.8053,-122.7002,27.97,80,75,1.66,broken clouds
63,Vardo,NO,70.3705,31.1107,30.18,80,37,9.22,scattered clouds
64,Victoria,HK,22.2855,114.1577,75.38,85,8,11.01,clear sky
65,Puerto Ayora,EC,-0.7393,-90.3518,72.55,81,77,5.99,broken clouds
66,Hilo,US,19.7297,-155.09,74.62,92,13,4.0,few clouds
67,Saskylakh,RU,71.9167,114.0833,-6.99,96,100,10.47,overcast clouds
68,Pingliang,CN,35.5392,106.6861,40.28,50,100,1.32,overcast clouds
69,Carnarvon,AU,-24.8667,113.6333,67.77,72,0,21.39,clear sky
70,Jamestown,US,42.097,-79.2353,38.79,78,100,12.66,light snow
71,Sayat,TM,38.7839,63.8803,47.46,52,38,9.31,scattered clouds
72,Cabra,ES,37.4725,-4.4421,61.66,55,9,1.72,clear sky
73,Narsaq,GL,60.9167,-46.05,44.82,66,99,18.01,overcast clouds
74,Iqaluit,CA,63.7506,-68.5145,13.95,90,98,3.87,overcast clouds
75,San Patricio,US,28.017,-97.5169,59.92,51,1,9.17,clear sky
76,Amursk,RU,50.2261,136.8994,17.65,92,6,4.36,clear sky
77,Leshukonskoye,RU,64.8989,45.7622,24.76,88,99,9.06,overcast clouds
78,Vlore,AL,40.4667,19.4897,60.58,67,100,6.11,overcast clouds
79,Albany,US,42.6001,-73.9662,48.36,66,93,1.01,overcast clouds
80,Berlevag,NO,70.8578,29.0864,35.6,80,20,12.66,few clouds
81,Haines Junction,CA,60.7522,-137.5108,24.22,97,90,4.7,overcast clouds
82,Saint George,US,37.1041,-113.5841,44.44,54,54,3.0,broken clouds
83,Lethem,GY,3.3803,-59.7968,88.16,61,92,1.34,overcast clouds
84,Kapaa,US,22.0752,-159.319,76.1,85,20,5.01,light rain
85,Bethel,US,41.3712,-73.414,52.02,65,100,5.01,overcast clouds
